,page_id,status,date,type,operator,registration,msn,first_flight,crew,passengers,total,aircraft_damage,location,phase,nature,departure_airport,destination_airport,narrative,time,engines,collision_casualties,aircraft_fate,crash_site_elevation,flightnumber,total_airframe_hrs,ground_casualties,operating_for,leased_from,cycles,operated_by,on_behalf_of
45,19461012-0,Final,Saturday 12 October 1946,Lockheed L-049-46-28 Constellation,Transcontinental & Western Air - TWA,NC86512,2039,1946,Fatalities: 0 / Occupants: 8,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 8,Damaged beyond repair,"Newcastle, DE (   United States of America)",Landing (LDG),Ferry/positioning,"New York-La Guardia Airport, NY (LGA/KLGA), United States of America","Wilmington-New Castle County Airport, DE (ILG/KILG), United States of America","The Constellation, named ""Star of Geneva"", was approaching Newcastle as a rainsquall passed over the airport. The suggestion by ATC to divert to Philadelphia was turned down, as was the suggestion to use another runway because of shifting winds. The aircraft landed on runway 14 but could not be stopped on the remaining runway length. Power was applied briefly because the captain tried to takeoff again, but he rapidly changing his mind. The aircraft went off the runway through trees, skidded across a highway striking two automobiles. The Constellation continued 650 feet until coming to rest on fire.",18:15,4 Wright R-3350 (745C18BA3) Cyclone,,,,,1195,,,,,,
46,19461110-0,Final,Sunday 10 November 1946,Douglas C-49J-DO (DC-3-454),Delta Air Lines,NC20750,4993,1942,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 19,Fatalities: 0 / Occupants: 22,Damaged beyond repair,"Meridian-Key Field, MS (MEI) (   United States of America)",Landing (LDG),Domestic Scheduled Passenger,"Jackson-Hawkins Field, MS (HKS/KHKS), United States of America","Meridian-Key Field, MS (MEI/KMEI), United States of America","At 16:30, the Delta Air Lines flight departed Jackson under an instrument flight rules clearance to cruise at 3,000 feet to Meridian. At 17:10, Flight 10 reported over the Meridian range station at 3,000 feet and informed the Delta station that it was proceeding outbound on the northwest leg. This message was acknowledged by the company station and the flight was immediately advised of the latest Meridian weather: ceiling 800 feet, overcast, visibility 3 miles, thunder storm, light rain showers, surface wind northeast 10, thunder storms overhead moving east-northeast, frequent vivid lightning all quadrants. The aircraft was seen to make contact with runway 14 within the first 1,000 feet, however, it continued rolling down the entire length of the runway with little apparent deceleration. Its forward motion continued beyond the end of the runway and up the western slope of a ditch adjoining the highway adjacent to the airport. On striking this ditch, the aircraft left the ground and bounced over the highway, coming to rest with its nose extended partially over a railroad right-of-way.",17:17,2 Wright R-1820-G202A,,,,DL10,8819,,,,,,
47,19461115-0,,Friday 15 November 1946,Ford 4-AT-B Tri-Motor,Shell Company of Ecuador,HC-SBD,4-AT-29,1928-08-03  (18 years 4 months),Fatalities: 1 / Occupants: 1,Fatalities: 0 / Occupants: 3,Fatalities: 1 / Occupants: 4,Damaged beyond repair,Ayuy Airstrip (   Ecuador),Landing (LDG),Unknown,?,"Ayuy Airstrip, Ecuador",The left tire blew on landing. The plane went off the runway and came to rest against some rocks.,,3 Wright J-5 Whirlwind,,,,,,,,,,,
48,19461128-0,,Thursday 28 November 1946,Avro 685 York C.1,Royal Air Force - RAF,MW168,,,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Brize Norton (BZZ) (   United Kingdom),Takeoff (TOF),Military,"Brize Norton RAF Station (BZZ/EGVN), United Kingdom",?,"The York lost directional control on takeoff from RAF Brize Norton. The airplane struck a railway embankment, causing the undercarriage to collapse.",,4 Rolls-Royce Merlin,,,,,,,,,,,
49,19461210-0,,Tuesday 10 December 1946,Curtiss C-46E Commando,Slick Airways,registration unknown,,,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 2,Substantial,"Dallas, TX (   United States of America)",Landing (LDG),Cargo,?,"Dallas (unknown airport), TX, United States of America","The C-46 landed long and aquaplaned on the wet runway. It overran the runway, went through the boundary fence and crossed a ditch which sheared off the landing gear before coming to rest.",,,,Repaired,,,,,,,,,
50,19461224-1,,Tuesday 24 December 1946,Douglas DC-4,United Airlines,NC30050,10450,1944,Fatalities: 0 / Occupants: 4,Fatalities: 0 / Occupants: 41,Fatalities: 0 / Occupants: 45,Damaged beyond repair,"Los Angeles Airport, CA (LAX) (   United States of America)",Landing (LDG),Domestic Scheduled Passenger,?,"Los Angeles Airport, CA (LAX/KLAX), United States of America",The DC-4 passed over the threshold at 75 feet and 115 mph and touched down on the wet runway near an intersection. The aircraft could not be brought to a stop on the remaining runway length and overran by 195 feet.,,,,,,,,,,,,,
51,19470118-1,,Saturday 18 January 1947,Douglas Dakota IV (DC-3),Royal Air Force - RAF,KP230,33449/16701,1945,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Kupang-El Tari Airport (KOE) (   Indonesia),Landing (LDG),Military,?,?,"One of the wheels ran into a hole in the runway. The Dakota lost directional control and ran off the runway,.",,2 Pratt & Whitney R-1830-90C,,,,,,,,,,,
52,19470504-0,,Sunday 4 May 1947,Douglas DC-3C,Union Southern Airlines,NC53196,19435,1944,Fatalities: 2 / Occupants: 3,Fatalities: 0 / Occupants: 9,Fatalities: 2 / Occupants: 12,Damaged beyond repair,"Newark Airport, NJ (EWR) (   United States of America)",Landing (LDG),Domestic Non Scheduled Passenger,"Louisville-Standiford Field, KY (SDF/KSDF), United States of America","Newark Airport, NJ (EWR/KEWR), United States of America","The DC-3 passenger plane, NC53196, was approaching Newark Airport, NJ for landing. The airplane was too far to the right for an approach to runway 6 and the tower controller radioed that he was in line for an approach to runway 28. The approach was then made to runway 28 which is 7100 ft long with an additional usable 500 feet at the end. The approach was fast, however and contact was not made with the runway until within the last 2000 feet. The aircraft continued off the runway and ran into a drainage ditch where a fire broke out, which was quickly extinguished.",,,,,,,,,,,,,
53,19470516-1,,Friday 16 May 1947,Douglas DC-3,Strato-Freight,NC53011,4276,1942,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 2,Substantial,"Gainesville Airport, GA (GVL) (   United States of America)",Landing (LDG),Cargo,?,"Gainesville-Lee Gilmer Memorial Airport, GA (GVL/KGVL), United States of America","The DC-3 cargo plane landed on a runway which was 4200 feet long but the pilot made his approach too fast. Brakes were not used until within 300 feet of the end of the runway. The aircraft continued off the runway, down a rough incline and across a dirt road. It was considered damaged beyond repair.",,,,Written off (damaged beyond repair),,,,,,,,,
54,19470530-1,,Friday 30 May 1947,Douglas R4D-1 (DC-3),Taxi Aéreo Colombiano - TAERCO,C-708,9041,1943,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Substantial,Mitú Airport (MVP) (   Colombia),Landing (LDG),Cargo,?,"Mitú Airport (MVP/SKMU), Colombia",The DC-3 suffered a runway excursion on landing and crashed into the airport boundary fence.,ca 09:45,,,Repaired,,,,,,,,,
55,19470603-0,,Tuesday 3 June 1947,Douglas C-47A-25-DK (DC-3),Butler Air Transport,VH-AOH,13603,1944,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 2,Damaged beyond repair,"Schofields Airport, NSW (   Australia)",Takeoff (TOF),Training,"Schofields Airport, NSW (YSFS), Australia",?,Overshot the runway and crashed into trees while practicing takeoffs and landings.,,2 Pratt & Whitney R-1830-92,,,,,,,,,,,
56,19470715-0,,Tuesday 15 July 1947,Amiot AAC.1 (Junkers Ju-52),Aéro Cargo,F-BCHH,AAC323,,Fatalities: 0 / Occupants: 4,Fatalities: 1 / Occupants: 20,Fatalities: 1 / Occupants: 24,Damaged beyond repair,Vichy-Charmeil Airport (VHY) (   France),Landing (LDG),Domestic Scheduled Passenger,"Marseille-Marignane Airport (MRS/LFML), France","Vichy-Charmeil Airport (VHY/LFLV), France","The aircraft operated on a flight from Algiers, Algeria, to Paris, with en route stops at Marseille and Vichy. On short final to Vichy Airport, the aircraft hit a dyke of the Allier river and crash-landed. A fire erupted. One passenger (84) was killed; 20 occupants were injured, including the crew of four.",,,,,,,,,,,,,
57,19470725-0,,Friday 25 July 1947,Avro 685 York C.1,Skyways,G-AIUP,1374,1947,Fatalities: 0 / Occupants: 7,Fatalities: 0 / Occupants: 17,Fatalities: 0 / Occupants: 24,Damaged beyond repair,London Airport (LHR) (   United Kingdom),Landing (LDG),Int'l Non Scheduled Passenger,"Berlin (unknown airport), Germany","London Airport (LHR/EGLL), United Kingdom","The brakes failed on landing, causing the York to overran the runway. The aircraft came to rest across a river, some 250yds past the end of the runway.The cause of the brake failure was given as a broken cable due to excessive wear over the steel rubbing blocks in the pilot's control column. Although the brake cable and blocks were removed from the control column for examination approximately 20 hours flying time before the accident, it is stated that considerable taxiing, which had necessitated frequent use of the brakes, had been necessary owing to the nature of the foreign airfields visited.",,4 Rolls-Royce Merlin,,,,,,,,,,,
58,19470809-0,,Saturday 9 August 1947,Douglas DC-3F,AB Aerotransport,SE-BAY,19559,1944,Fatalities: 1 / Occupants: 5,Fatalities: 0 / Occupants: 0,Fatalities: 1 / Occupants: 5,Damaged beyond repair,Malmö-Bulltofta Airport (   Sweden),Landing (LDG),Cargo,"Amsterdam-Schiphol International Airport (AMS/EHAM), Netherlands","Malmö-Bulltofta Airport, Sweden","Takeoff from Amsterdam was at 23:08 GMT, August 8 and the aircraft climbed to the cruising altitude of 2100 m. Arriving near Malmö the crew were cleared to land. Being a little high on the approach, the captain applied full power. The DC-3 continued to descend and struck the ground at considerable speed. Power was cut and brakes applied. The aircraft overran the runway and crashed into a bank of earth.",,,,,,,,,,,,,
59,19470917-0,Final,Wednesday 17 September 1947,Curtiss C-46E-1-CS Commando,Slick Airways,NC59495,2937,1945,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 2,Damaged beyond repair,"Hollywood-Lockheed Air Terminal, CA (BUR) (   United States of America)",Landing (LDG),Cargo,"Denver (unknown airport), CO, United States of America","Hollywood-Lockheed Air Terminal, CA (BUR/KBUR), United States of America","Headwinds encountered en route Denver-Burbank caused a complete fuel exhaustion during the final stages of the flight. A sharp turn was made and a landing carried out on the north-south taxiway. The aircraft overran the runway, skidded across a highway and a railroad track before coming to rest.",11:12,2 Pratt & Whitney R-2800-75,,,,,3811,,,,,,
60,19471105-0,,Wednesday 5 November 1947,Avro 685 York C.1,Royal Air Force - RAF,MW207,,,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Lyneham RAF Station (LYE) (   United Kingdom),Landing (LDG),Military,?,"Lyneham RAF Station (LYE/EGDL), United Kingdom","The York suffered a brake failure on landing and departed the runway, coming to rest against a hedge.",,4 Rolls-Royce Merlin,,,,,,,,,,,
61,19471113-1,,Thursday 13 November 1947,Douglas C-53-DO (DC-3),Air-India,VT-ATI,4922,1942,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Jammu Airport (IXJ) (   India),Landing (LDG),Unknown,?,"Jammu-Satwari Airport (IXJ/VIJU), India",Overran the runway on landing.,,,,,,,,,,,,,
62,19471123-0,,Sunday 23 November 1947,Bristol 170 Freighter IA,Bristol Aeroplane Company,G-AIMC,12793,,Fatalities: 0 / Occupants: 5,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 5,Damaged beyond repair,Wau Airport (WUG) (   Papua New Guinea),Landing (LDG),Demonstration,?,"Wau Airport (WUG/AYWU), Papua New Guinea","The Bristol landed uphill on the inclined Wau runway. At the end of the landing run the brake cable failed, causing the aircraft to run backwards, ending up in a ditch.",,,,,,,,,,,,,
63,19471124-0,,Monday 24 November 1947,Ilyushin Il-12P,"Aeroflot, Moscow Civil Aviation Directorate",CCCP-L1356,30070,1947,Fatalities: 0 / Occupants: 6,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 6,Damaged beyond repair,Sverdlovsk-Koltsovo Airport (SVX) (   Russia),Takeoff (TOF),Unknown,"Sverdlovsk-Koltsovo Airport (SVX/USSS), Russia",?,"The aircraft operated on a flight from Sverdlovsk to Moscow with several en route stops.On departure from Sverdlovsk the MTOW was exceeded by 330 kg. Also, the aircraft had not been properly de-iced.The airplane was not able to take off and overran the runway. It collided with bushes, ran into a hole and broke up.",,,,,,,165,,,,,,
64,19471130-0,Final,Sunday 30 November 1947,Douglas C-54A-1-DO (DC-4),Alaska Airlines,NC91009,7453,1943,Fatalities: 1 / Occupants: 3,Fatalities: 7 / Occupants: 25,Fatalities: 8 / Occupants: 28,Damaged beyond repair,"Seattle/Tacoma International Airport, WA (SEA) (   United States of America)",Landing (LDG),Domestic Non Scheduled Passenger,"Anchorage-Merrill Field, AK (MRI/PAMR), United States of America","Seattle-Boeing Field International Airport, WA (BFI/KBFI), United States of America","Flight 009 departed from Anchorage at 08:04, November 27, 1947, for Seattle. At 10:33, the flight arrived at Yakutat for a refueling stop, but remained there two days because of unfavorable weather. At 04:14, November 29, the flight departed for Seattle with a refueling stop planned at Port Hardy, Canada. Weather at Port Hardy was below minimums, so the captain decided to turn back and landed at Annette Island at 08:35. The following morning at 10:41 Flight 009 departed from Annette for Seattle. The flight arrived over the Seattle radio range station at 3,000 feet on its initial approach to the Boeing Airport at 13:57. An instrument approach for landing at Boeing Field was made, but not completed because of the low ceiling and visibility, so the flight returned to an altitude of 1,500 feet. The second instrument approach was made for a landing at Seattle-Tacoma Airport's runway 20 which is 5,611 feet long. Because the DC-4 was not properly aligned with the runway, the pilot maneuvered until it touched down left wing-low 2,748 feet beyond the approach end of the runway. The plane did not slow down enough and power was applied to the no. 4 engine to attempt a groundloop. It went off the end of the runway, crossed 229 feet of wet ground, and then rolled down a 24-foot embankment. At the bottom of the embankment it struck a ditch which sheared off the left lending gear and the left wing. The aircraft continued on to the intersection of the Des Moines Highway and South 188th Street where it collided with a moving automobile. Spilled gasoline was ignited, and the wreckage was enveloped in flames.",14:25,4 Pratt & Whitney R-2000-7,,,,009,5548,Fatalities: 1,,,,,
65,19480105-0,,Monday 5 January 1948,Lockheed 18-08-01 Lodestar,South African Airways - SAA,ZS-ASW,18-2037,1940,Fatalities: 0 / Occupants: 4,Fatalities: 0 / Occupants: 11,Fatalities: 0 / Occupants: 15,Damaged beyond repair,Johannesburg-Palmietfontein Airport (   South Africa),Landing (LDG),Domestic Scheduled Passenger,?,"Johannesburg-Palmietfontein Airport, South Africa",The undercarriage collapsed when the Lodestar struck a water drain after running off the runway. Damaged beyond repair.,,,,,,,,,,,,,
66,19480107-1,,Wednesday 7 January 1948,Douglas Dakota IV (DC-3),Royal Air Force - RAF,KN553,33164/16416,1945,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Waterbeach RAF Station (   United Kingdom),Landing (LDG),Military,?,"Waterbeach RAF Station, United Kingdom",The Dakota was performing a single engine approach to RAF Waterbeach when it ran past the end of the runway and crossed a road.,,2 Pratt & Whitney R-1830-90C,,,,,,,,,,,
67,19480216-0,,Monday 16 February 1948,Avro 685 York C.1,Royal Air Force - RAF,MW182,,,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Hullavington RAF Station (   United Kingdom),Landing (LDG),Military,?,"Hullavington RAF Station, United Kingdom","The York overran the runway at RAF Hullavington, skidded on wet grass and ran into a ditch.",,4 Rolls-Royce Merlin,,,,,,,,,,,
68,19480423-0,,Friday 23 April 1948,Lisunov Li-2T,"Aeroflot, Far East Civil Aviation Directorate",CCCP-L4437,3305,1947,Fatalities: 1 / Occupants: 4,Fatalities: 0 / Occupants: 12,Fatalities: 1 / Occupants: 16,Damaged beyond repair,Khabarovsk Airport (   Russia),Takeoff (TOF),Domestic Scheduled Passenger,"Khabarovsk Airport (UHHT), Russia","Yuzhno-Sakhalinsk Airport (UUS/UHSS), Russia",The Li-2 swerved off the right side of the runway on takeoff. Some 30 seconds later the wing hit a telegraph line and the aircraft collided with the pole of a high-voltage power-line.The trimmer of the rudder had not been set to neutral position before takeoff.,,,,,,,514,,,,,,
